0;a;0|0,000093;0,147;0,00113;0,0833
0;a;1|0,00112;0,0423;0,000063;0,000298
0;a;2|0,000353;9,11E-6;0,000471;0,0196
0;a;3|0,015;0,000489;0,0115;0,0000679
0;a;4|0,0452;0,00289;1,92E-6;0,0000189
0;a;5|0,000211;0,0652;0,0000864;0,782
0;a;6|0,0256;5,96E-6;0,000103;3,56E-8
0;a;7|0,0000449;0,00103;0,0206;0,000791
0;a;8|0,0000502;0,125;0,0346;0,00046
0;a;9|1,97;0,0579;0,000137;0,355
1;b;0|0,0000699;0,0396;0,00345;0,00123;0,000423;0,194;0,000046;0,145;0,0239;0,0398;0,0146
1;b;1|0,000643;0,011;0,000445;0,016;0,00334;0,0376;0,00039;0,412;5,5E-6;0,00294;0,0577
1;b;2|0,00539;0,00652;0,0000217;0,000119;0,0422;0,0343;0,244;0,0336;0,0000698;0,000124;0,0000392
1;b;3|0,00123;0,293;0,000264;0,0000831;0,0834;0,105;0,0133;0,00443;0,0839;4,39E-8;0,000481
1;b;4|0,000328;0,002;8,57E-6;0,0000601;0,271;0,000051;2,53E-8;4,99E-9;0,0000729;0,0565;0,0547
1;b;5|0,0339;3,11E-7;0,0000257;0,176;0,0211;0,589;0,108;0,0022;0,266;0,0272;0,000497
1;b;6|2,27E-6;6,26E-6;4,86E-8;0,0487;0,000146;0,00027;0,0028;0,0000112;0,0867;1,66E-7;0,000392
1;b;7|0,000444;3,44E-7;0,000943;5,31E-6;0,017;0,201;0,0109;0,0000393;0,000147;0,00138;0,0146
1;b;8|0,00396;0,0000979;0,202;0,0452;0,00922;0,208;0,0254;0,019;1,34E-6;0,0163;0,136
1;b;9|1,65;4,52E-9;1,49E-7;0,000572;0,00482;0,0000851;2,42E-8;0,000361;0,0301;0,0116;7,4
2;a;0|3,58E-6;0,000706;0,00349;0,000719;0,0345;0,0229;0,00245;0,00027;6,25;6,28;2,84
